025816109,AXP,AMERICAN EXPRESS COMPANY,USD,NYSE,72.17,915255000,15720319,14.01,2017/01/04,2017/02/10,0.320000,1.62,yes
037833100,AAPL,APPLE INC,USD,NASDAQ-NMS,742.18,5246540000,50992815,16.94,2017/02/09,2017/02/16,0.570000,1.61,yes
03076C106,AMP,AMERIPRISE FINANCIAL INC,USD,NYSE,20.08,153864000,2014463,16.69,2017/02/09,2017/02/28,0.750000,2.30,yes
038222105,AMAT,APPLIED MATERIALS INC,USD,NASDAQ-NMS,42.73,1079831000,13208850,20.19,2017/05/23,2017/06/15,0.100000,1.01,yes
007903107,AMD,ADVANCED MICRO DEVICES INC,USD,NASDAQ-NMS,13.56941399000,104607270,,,,,,,yes
097023105,BA,BOEING CO,USD,NYSE,109.08,608085000,11986130,23.45,2017/02/08,2017/03/03,1.420000,3.17,yes
067774109,BKS,BARNES AND NOBLE INC,USD,NYSE,659.46,72468000,6135967,182.00,2017/04/05/,2017/04/28,0.150000,6.59,yes
149123101,CAT,CATERPILLAR INC,USD,NYSE,55.95,586486000,28746085,,2017/01/18,2017/02/18,0.770000,3.23,yes
17275R102,CSCO,CISCO SYSTEMS INC,USD,NASDAQ-NMS,171.67,5007856000,51634354,17.58,2017/04/04,2017/04/26,0.29000,3.38,yes
172967424,C,CITIGROUP INC,USD,NYSE,164.76,2764865000,25365027,12.55,02/02/17,02/24/17,0.160000,1.07 yes
36467W109,GME,GAMESTOP CORP HOLDING COMPANY,USD,NYSE,2.43,101875000,24055014,6.37,2017/03/10,2017/03/28,0.380000,6.37,yes
37045V100,GM,GENERAL MOTORS COMPANY,USD,NYSE,53.49,1497965000,39263202,5.95,2017/03/08,2017/03/24,0.380000,4.26,yes
369604103,GE,GENERAL ELECTRIC COMPANY,USD,NYSE,259.00,8708714000,103485347,29.74,2017/02/23,2017/04/25,0.240000,3.23,yes
38141G104,GS,GOLDMAN SACHS GROUP INC,USD,NYSE,96.32,397790000,4586203,14.80,2017/02/28,2017/03/30,0.650000,1.07,yes
459200101,IBM,INTERNATIONAL BUSINESS MACHINES CORP,US,NYSE,233.20,2556477000,32442561,26.44,2017/01/18,2017/02/15,0.669500,2.94,yes
458140100,INTC,INTEL CORPORATION,USD,NASDAQ-NMS,167.90,4739000000,89462351,16.79,2017/02/03,2017/03/01,0.260000,2.94,yes
46625H100,JPM,JP MORGAN CHASE AND CO,USD,NYSE,321.58,3571963000,35161556,14.54,2017/01/04,2017/01/31,0.480000,2.13,yes
58933Y105,MRK,MERCK AND CO INC,USD,NYSE,176.02,2745571000,17233446,2017/03/13,2017,04/07,0.470000,2.93,yes
594918104,MSFT,MICROSOFT CORPORATION,USD,NASDAQ-NMS,501.75,7727530000,39671271,30.63,2017/05/16,2017/06/08,0.390000,2.40,yes
654106103,NKE,NIKE INC,USD,NYSE,97.08,1654477000,32757615,25.85,2017/03/02,2017/04/03,25.85,1.23,yes
68389X105,ORCL,ORACLE CORP,USD,NYSE,186.11,4114684000,41034283,21.54,2017/04/10,2017/04/26,0.190000,1.68,yes
717081103,PFE,PFIZER INC,USD,NYSE,204.74,5955126000,110370706,29.38,2017/02/01,2017/03/01,0.320000,3.72,yes
742718109,PG,PROCTER AND GAMBLE CO,USD,NYSE,233.20,2556477000,32442561,26.44,2017/01/18,2017/02/15,0.669500,2.94,yes
882508104,TXN,TEXAS INSTRUMENTS INCORPORATED,USD,NASDAQ-NMS,81.56,999640000,14383470,23.38,2017/01/27,2017/02/13,0.500000,2.45,yes
30231G102,XOM,EXXON MOBIL CORP,USD,NYSE,340.01,414614000,31144533,43.62,2017/02/08,2017/03/10,0.750000,3.66,yes
